-----------------------------------------------------------------------
Generation 50

Pacman N°1
[Node 31 | Parent : 29 | Child : R | Depth : 11 | IfNode | Tester : CheckGhostRightToPacman]
[Node 205 | Parent : 204 | Child : L | Depth : 11 | TerminalNode | Direction : UP]
[Node 206 | Parent : 204 | Child : R | Depth : 11 | TerminalNode | Direction : LEFT]
[Node 32 | Parent : 31 | Child : L | Depth : 12 | IfNode | Tester : CheckGhostDownToPacman]
[Node 153 | Parent : 31 | Child : R | Depth : 12 | IfNode | Tester : CheckPacgumDownToPacman]
[Node 33 | Parent : 32 | Child : L | Depth : 13 | TerminalNode | Direction : RIGHT]
[Node 34 | Parent : 32 | Child : R | Depth : 13 | IfNode | Tester : CheckGhostLeftToPacman]
[Node 154 | Parent : 153 | Child : L | Depth : 13 | TerminalNode | Direction : LEFT]
[Node 155 | Parent : 153 | Child : R | Depth : 13 | IfNode | Tester : CheckGhostLeftToPacman]
[Node 35 | Parent : 34 | Child : L | Depth : 14 | IfNode | Tester : CheckGhostLeftToPacman]
[Node 40 | Parent : 34 | Child : R | Depth : 14 | IfNode | Tester : CheckGhostRightToPacman]
[Node 156 | Parent : 155 | Child : L | Depth : 14 | TerminalNode | Direction : DOWN]
[Node 157 | Parent : 155 | Child : R | Depth : 14 | IfNode | Tester : CheckPacgumLeftToPacman]
[Node 36 | Parent : 35 | Child : L | Depth : 15 | IfNode | Tester : CheckGhostDownToPacman]
[Node 39 | Parent : 35 | Child : R | Depth : 15 | TerminalNode | Direction : DOWN]
[Node 41 | Parent : 40 | Child : L | Depth : 15 | IfNode | Tester : CheckPacgumUpToPacman]
[Node 50 | Parent : 40 | Child : R | Depth : 15 | IfNode | Tester : CheckPacgumDownToPacman]
[Node 158 | Parent : 157 | Child : L | Depth : 15 | TerminalNode | Direction : LEFT]
[Node 159 | Parent : 157 | Child : R | Depth : 15 | IfNode | Tester : CheckGhostIsClose]
[Node 37 | Parent : 36 | Child : L | Depth : 16 | TerminalNode | Direction : RIGHT]
[Node 38 | Parent : 36 | Child : R | Depth : 16 | TerminalNode | Direction : LEFT]
[Node 42 | Parent : 41 | Child : L | Depth : 16 | IfNode | Tester : CheckWallLeftToPacman]
[Node 49 | Parent : 41 | Child : R | Depth : 16 | TerminalNode | Direction : DOWN]
[Node 51 | Parent : 50 | Child : L | Depth : 16 | TerminalNode | Direction : LEFT]
[Node 52 | Parent : 50 | Child : R | Depth : 16 | IfNode | Tester : CheckGhostLeftToPacman]
[Node 160 | Parent : 159 | Child : L | Depth : 16 | IfNode | Tester : CheckGhostRightToPacman]
[Node 171 | Parent : 159 | Child : R | Depth : 16 | TerminalNode | Direction : UP]
[Node 43 | Parent : 42 | Child : L | Depth : 17 | IfNode | Tester : CheckGhostLeftToPacman]
[Node 46 | Parent : 42 | Child : R | Depth : 17 | IfNode | Tester : CheckGhostIsClose]
[Node 53 | Parent : 52 | Child : L | Depth : 17 | TerminalNode | Direction : DOWN]
[Node 54 | Parent : 52 | Child : R | Depth : 17 | IfNode | Tester : CheckGhostLeftToPacman]
[Node 161 | Parent : 160 | Child : L | Depth : 17 | IfNode | Tester : CheckWallLeftToPacman]
[Node 170 | Parent : 160 | Child : R | Depth : 17 | TerminalNode | Direction : RIGHT]
[Node 44 | Parent : 43 | Child : L | Depth : 18 | TerminalNode | Direction : DOWN]
[Node 45 | Parent : 43 | Child : R | Depth : 18 | TerminalNode | Direction : RIGHT]
[Node 47 | Parent : 46 | Child : L | Depth : 18 | TerminalNode | Direction : RIGHT]
[Node 48 | Parent : 46 | Child : R | Depth : 18 | TerminalNode | Direction : DOWN]
[Node 55 | Parent : 54 | Child : L | Depth : 18 | IfNode | Tester : CheckPacgumLeftToPacman]
[Node 152 | Parent : 54 | Child : R | Depth : 18 | TerminalNode | Direction : UP]
[Node 162 | Parent : 161 | Child : L | Depth : 18 | TerminalNode | Direction : UP]
[Node 163 | Parent : 161 | Child : R | Depth : 18 | IfNode | Tester : CheckGhostIsClose]
[Node 56 | Parent : 55 | Child : L | Depth : 19 | TerminalNode | Direction : LEFT]
[Node 57 | Parent : 55 | Child : R | Depth : 19 | IfNode | Tester : CheckGhostIsClose]
[Node 164 | Parent : 163 | Child : L | Depth : 19 | IfNode | Tester : CheckGhostRightToPacman]
[Node 169 | Parent : 163 | Child : R | Depth : 19 | TerminalNode | Direction : UP]
[Node 58 | Parent : 57 | Child : L | Depth : 20 | IfNode | Tester : CheckGhostRightToPacman]
[Node 151 | Parent : 57 | Child : R | Depth : 20 | TerminalNode | Direction : DOWN]
[Node 165 | Parent : 164 | Child : L | Depth : 20 | IfNode | Tester : CheckWallLeftToPacman]
[Node 168 | Parent : 164 | Child : R | Depth : 20 | TerminalNode | Direction : RIGHT]
[Node 59 | Parent : 58 | Child : L | Depth : 21 | IfNode | Tester : CheckWallLeftToPacman]
[Node 150 | Parent : 58 | Child : R | Depth : 21 | TerminalNode | Direction : RIGHT]
[Node 166 | Parent : 165 | Child : L | Depth : 21 | TerminalNode | Direction : UP]
[Node 167 | Parent : 165 | Child : R | Depth : 21 | TerminalNode | Direction : LEFT]
[Node 60 | Parent : 59 | Child : L | Depth : 22 | TerminalNode | Direction : UP]
[Node 61 | Parent : 59 | Child : R | Depth : 22 | IfNode | Tester : CheckWallRightToPacman]
[Node 62 | Parent : 61 | Child : L | Depth : 23 | TerminalNode | Direction : UP]
[Node 63 | Parent : 61 | Child : R | Depth : 23 | IfNode | Tester : CheckGhostIsClose]
[Node 64 | Parent : 63 | Child : L | Depth : 24 | IfNode | Tester : CheckGhostIsClose]
[Node 71 | Parent : 63 | Child : R | Depth : 24 | IfNode | Tester : CheckGhostLeftToPacman]
[Node 65 | Parent : 64 | Child : L | Depth : 25 | TerminalNode | Direction : LEFT]
[Node 66 | Parent : 64 | Child : R | Depth : 25 | IfNode | Tester : CheckGhostDownToPacman]
