[IfNode | N°17 | Parent N° 14 - rightChild | Depth : 8 | Tester : CheckWallLeftToPacman]
[IfNode | N°24 | Parent N° 15 - leftChild | Depth : 8 | Tester : CheckWallLeftToPacman]
[TerminalNode | N°25 | Parent N° 15 - rightChild | Depth : 8 | Direction : LEFT]
[IfNode | N°40 | Parent N° 38 - leftChild | Depth : 8 | Tester : CheckWallLeftToPacman]
[IfNode | N°41 | Parent N° 38 - rightChild | Depth : 8 | Tester : CheckWallLeftToPacman]
[IfNode | N°52 | Parent N° 39 - leftChild | Depth : 8 | Tester : CheckWallLeftToPacman]
[IfNode | N°53 | Parent N° 39 - rightChild | Depth : 8 | Tester : CheckWallLeftToPacman]
[IfNode | N°70 | Parent N° 68 - leftChild | Depth : 8 | Tester : CheckWallLeftToPacman]
[TerminalNode | N°71 | Parent N° 68 - rightChild | Depth : 8 | Direction : DOWN]
[IfNode | N°84 | Parent N° 69 - leftChild | Depth : 8 | Tester : CheckWallLeftToPacman]
[IfNode | N°85 | Parent N° 69 - rightChild | Depth : 8 | Tester : CheckWallLeftToPacman]
[IfNode | N°100 | Parent N° 98 - leftChild | Depth : 8 | Tester : CheckWallLeftToPacman]
[IfNode | N°101 | Parent N° 98 - rightChild | Depth : 8 | Tester : CheckWallLeftToPacman]
[IfNode | N°114 | Parent N° 99 - leftChild | Depth : 8 | Tester : CheckWallLeftToPacman]
[IfNode | N°115 | Parent N° 99 - rightChild | Depth : 8 | Tester : CheckWallLeftToPacman]
[IfNode | N°194 | Parent N° 192 - leftChild | Depth : 8 | Tester : CheckWallLeftToPacman]
[TerminalNode | N°195 | Parent N° 192 - rightChild | Depth : 8 | Direction : RIGHT]
[IfNode | N°222 | Parent N° 221 - leftChild | Depth : 8 | Tester : CheckWallLeftToPacman]
[IfNode | N°223 | Parent N° 221 - rightChild | Depth : 8 | Tester : CheckWallLeftToPacman]
[IfNode | N°240 | Parent N° 239 - leftChild | Depth : 8 | Tester : CheckWallLeftToPacman]
[TerminalNode | N°241 | Parent N° 239 - rightChild | Depth : 8 | Direction : DOWN]
[IfNode | N°282 | Parent N° 280 - leftChild | Depth : 8 | Tester : CheckWallLeftToPacman]
[IfNode | N°283 | Parent N° 280 - rightChild | Depth : 8 | Tester : CheckWallLeftToPacman]
[IfNode | N°296 | Parent N° 281 - leftChild | Depth : 8 | Tester : CheckWallLeftToPacman]
[TerminalNode | N°297 | Parent N° 281 - rightChild | Depth : 8 | Direction : RIGHT]
[IfNode | N°312 | Parent N° 310 - leftChild | Depth : 8 | Tester : CheckWallLeftToPacman]
[IfNode | N°313 | Parent N° 310 - rightChild | Depth : 8 | Tester : CheckWallLeftToPacman]
[TerminalNode | N°344 | Parent N° 342 - leftChild | Depth : 8 | Direction : LEFT]
[TerminalNode | N°345 | Parent N° 342 - rightChild | Depth : 8 | Direction : UP]
[IfNode | N°350 | Parent N° 343 - leftChild | Depth : 8 | Tester : CheckWallLeftToPacman]
[IfNode | N°351 | Parent N° 343 - rightChild | Depth : 8 | Tester : CheckWallLeftToPacman]
[IfNode | N°368 | Parent N° 366 - leftChild | Depth : 8 | Tester : CheckWallLeftToPacman]
[IfNode | N°369 | Parent N° 366 - rightChild | Depth : 8 | Tester : CheckWallLeftToPacman]
[IfNode | N°382 | Parent N° 367 - leftChild | Depth : 8 | Tester : CheckWallLeftToPacman]
[IfNode | N°383 | Parent N° 367 - rightChild | Depth : 8 | Tester : CheckWallLeftToPacman]
[IfNode | N°396 | Parent N° 394 - leftChild | Depth : 8 | Tester : CheckWallLeftToPacman]
[IfNode | N°397 | Parent N° 394 - rightChild | Depth : 8 | Tester : CheckWallLeftToPacman]
[IfNode | N°408 | Parent N° 395 - leftChild | Depth : 8 | Tester : CheckWallLeftToPacman]
[TerminalNode | N°409 | Parent N° 395 - rightChild | Depth : 8 | Direction : DOWN]
[IfNode | N°18 | Parent N° 17 - leftChild | Depth : 9 | Tester : CheckWallLeftToPacman]
[TerminalNode | N°19 | Parent N° 17 - rightChild | Depth : 9 | Direction : DOWN]
[IfNode | N°26 | Parent N° 24 - leftChild | Depth : 9 | Tester : CheckWallLeftToPacman]
[IfNode | N°27 | Parent N° 24 - rightChild | Depth : 9 | Tester : CheckWallLeftToPacman]
[TerminalNode | N°42 | Parent N° 40 - leftChild | Depth : 9 | Direction : RIGHT]
[IfNode | N°43 | Parent N° 40 - rightChild | Depth : 9 | Tester : CheckWallLeftToPacman]
[IfNode | N°46 | Parent N° 41 - leftChild | Depth : 9 | Tester : CheckWallLeftToPacman]
[IfNode | N°47 | Parent N° 41 - rightChild | Depth : 9 | Tester : CheckWallLeftToPacman]
[IfNode | N°54 | Parent N° 52 - leftChild | Depth : 9 | Tester : CheckWallLeftToPacman]
[IfNode | N°55 | Parent N° 52 - rightChild | Depth : 9 | Tester : CheckWallLeftToPacman]
[IfNode | N°60 | Parent N° 53 - leftChild | Depth : 9 | Tester : CheckWallLeftToPacman]
[IfNode | N°61 | Parent N° 53 - rightChild | Depth : 9 | Tester : CheckWallLeftToPacman]
[IfNode | N°72 | Parent N° 70 - leftChild | Depth : 9 | Tester : CheckWallLeftToPacman]
[IfNode | N°73 | Parent N° 70 - rightChild | Depth : 9 | Tester : CheckWallLeftToPacman]
[IfNode | N°86 | Parent N° 84 - leftChild | Depth : 9 | Tester : CheckWallLeftToPacman]
[TerminalNode | N°87 | Parent N° 84 - rightChild | Depth : 9 | Direction : LEFT]
[IfNode | N°92 | Parent N° 85 - leftChild | Depth : 9 | Tester : CheckWallLeftToPacman]
[IfNode | N°93 | Parent N° 85 - rightChild | Depth : 9 | Tester : CheckWallLeftToPacman]
[IfNode | N°102 | Parent N° 100 - leftChild | Depth : 9 | Tester : CheckWallLeftToPacman]
[TerminalNode | N°103 | Parent N° 100 - rightChild | Depth : 9 | Direction : RIGHT]
[IfNode | N°108 | Parent N° 101 - leftChild | Depth : 9 | Tester : CheckWallLeftToPacman]
[IfNode | N°109 | Parent N° 101 - rightChild | Depth : 9 | Tester : CheckWallLeftToPacman]
[IfNode | N°116 | Parent N° 114 - leftChild | Depth : 9 | Tester : CheckWallLeftToPacman]
[IfNode | N°117 | Parent N° 114 - rightChild | Depth : 9 | Tester : CheckWallLeftToPacman]
[IfNode | N°122 | Parent N° 115 - leftChild | Depth : 9 | Tester : CheckWallLeftToPacman]
[IfNode | N°123 | Parent N° 115 - rightChild | Depth : 9 | Tester : CheckWallLeftToPacman]
[TerminalNode | N°196 | Parent N° 194 - leftChild | Depth : 9 | Direction : UP]
[TerminalNode | N°197 | Parent N° 194 - rightChild | Depth : 9 | Direction : RIGHT]
[IfNode | N°224 | Parent N° 222 - leftChild | Depth : 9 | Tester : CheckWallLeftToPacman]
[IfNode | N°225 | Parent N° 222 - rightChild | Depth : 9 | Tester : CheckWallLeftToPacman]
[IfNode | N°230 | Parent N° 223 - leftChild | Depth : 9 | Tester : CheckWallLeftToPacman]
[IfNode | N°231 | Parent N° 223 - rightChild | Depth : 9 | Tester : CheckWallLeftToPacman]
[IfNode | N°242 | Parent N° 240 - leftChild | Depth : 9 | Tester : CheckWallLeftToPacman]
[IfNode | N°243 | Parent N° 240 - rightChild | Depth : 9 | Tester : CheckWallLeftToPacman]
[IfNode | N°284 | Parent N° 282 - leftChild | Depth : 9 | Tester : CheckWallLeftToPacman]
[TerminalNode | N°285 | Parent N° 282 - rightChild | Depth : 9 | Direction : RIGHT]
[IfNode | N°290 | Parent N° 283 - leftChild | Depth : 9 | Tester : CheckWallLeftToPacman]
[IfNode | N°291 | Parent N° 283 - rightChild | Depth : 9 | Tester : CheckWallLeftToPacman]
[IfNode | N°298 | Parent N° 296 - leftChild | Depth : 9 | Tester : CheckWallLeftToPacman]
[IfNode | N°299 | Parent N° 296 - rightChild | Depth : 9 | Tester : CheckWallLeftToPacman]
[IfNode | N°314 | Parent N° 312 - leftChild | Depth : 9 | Tester : CheckWallLeftToPacman]
[IfNode | N°315 | Parent N° 312 - rightChild | Depth : 9 | Tester : CheckWallLeftToPacman]
[IfNode | N°320 | Parent N° 313 - leftChild | Depth : 9 | Tester : CheckWallLeftToPacman]
[TerminalNode | N°321 | Parent N° 313 - rightChild | Depth : 9 | Direction : LEFT]
[IfNode | N°352 | Parent N° 350 - leftChild | Depth : 9 | Tester : CheckWallLeftToPacman]
[TerminalNode | N°353 | Parent N° 350 - rightChild | Depth : 9 | Direction : RIGHT]
[IfNode | N°358 | Parent N° 351 - leftChild | Depth : 9 | Tester : CheckWallLeftToPacman]
